id,keyword,volume,cpc,difficulty,priority,cluster,archetype,board,link,interactive_asset,status
pin-b2-0020,sauna dimensions 4 person,170,1.73,6,28.3,fit,spec_table,Sauna Sizes & Space Planning,https://besthomeinfraredsauna.com/#finder,bhis_home_fit_finder,pending_remap
pin-b2-0021,infrared sauna emf,140,1.99,6,23.3,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0022,sauna dimensions 2 person,110,1.81,5,22.0,fit,spec_table,Sauna Sizes & Space Planning,https://besthomeinfraredsauna.com/#finder,bhis_home_fit_finder,pending_remap
pin-b2-0023,4 person sauna dimensions,110,1.73,6,18.3,fit,spec_table,Sauna Sizes & Space Planning,https://besthomeinfraredsauna.com/#finder,bhis_home_fit_finder,pending_remap
pin-b2-0024,no emf infrared sauna,70,4.29,4,17.5,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0025,ultra low emf sauna,90,3.33,6,15.0,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0026,1 person sauna dimensions,30,1.0,2,15.0,fit,spec_table,Sauna Sizes & Space Planning,https://besthomeinfraredsauna.com/#finder,bhis_home_fit_finder,pending_remap
pin-b2-0027,sauna electrical requirements,140,2.66,10,14.0,electrical,reality_check,Sauna Installation & Electrical,https://besthomeinfraredsauna.com/electrical/,bhis_electrical_fit,pending_remap
pin-b2-0028,3 person sauna dimensions,40,2.11,3,13.3,fit,spec_table,Sauna Sizes & Space Planning,https://besthomeinfraredsauna.com/#finder,bhis_home_fit_finder,pending_remap
pin-b2-0029,emf sauna,140,1.86,11,12.7,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0030,best low emf infrared sauna,110,3.52,9,12.2,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0031,2 person infrared sauna low emf,70,3.65,7,10.0,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0032,2 person indoor sauna dimensions,20,1.5,2,10.0,fit,spec_table,Sauna Sizes & Space Planning,https://besthomeinfraredsauna.com/#finder,bhis_home_fit_finder,pending_remap
pin-b2-0033,4 person outdoor sauna dimensions,20,1.5,2,10.0,fit,spec_table,Sauna Sizes & Space Planning,https://besthomeinfraredsauna.com/#finder,bhis_home_fit_finder,pending_remap
pin-b2-0034,5 person sauna dimensions,20,1.5,2,10.0,fit,spec_table,Sauna Sizes & Space Planning,https://besthomeinfraredsauna.com/#finder,bhis_home_fit_finder,pending_remap
pin-b2-0035,dimensions of a 2 person sauna,20,2.54,2,10.0,fit,spec_table,Sauna Sizes & Space Planning,https://besthomeinfraredsauna.com/#finder,bhis_home_fit_finder,pending_remap
pin-b2-0036,infrared sauna dimensions 2 person,20,1.88,2,10.0,fit,spec_table,Sauna Sizes & Space Planning,https://besthomeinfraredsauna.com/#finder,bhis_home_fit_finder,pending_remap
pin-b2-0037,one person sauna dimensions,20,0.84,2,10.0,fit,spec_table,Sauna Sizes & Space Planning,https://besthomeinfraredsauna.com/#finder,bhis_home_fit_finder,pending_remap
pin-b2-0038,sauna dimensions 3 person,20,2.39,2,10.0,fit,spec_table,Sauna Sizes & Space Planning,https://besthomeinfraredsauna.com/#finder,bhis_home_fit_finder,pending_remap
pin-b2-0039,sauna dimensions 6 person,20,1.61,2,10.0,fit,spec_table,Sauna Sizes & Space Planning,https://besthomeinfraredsauna.com/#finder,bhis_home_fit_finder,pending_remap
pin-b2-0040,single person sauna dimensions,20,1.82,2,10.0,fit,spec_table,Sauna Sizes & Space Planning,https://besthomeinfraredsauna.com/#finder,bhis_home_fit_finder,pending_remap
pin-b2-0041,emf and infrared saunas,90,1.53,11,8.2,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0042,far infrared sauna low emf,70,3.19,9,7.8,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0043,sauna emf,70,1.2,9,7.8,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0044,what is low emf infrared sauna,90,1.1,12,7.5,emf,correction,Sauna Brand Reviews,https://besthomeinfraredsauna.com/emf/,bhis_emf_index,pending_remap
pin-b2-0045,infrared sauna electrical requirements,70,3.55,13,5.4,electrical,reality_check,Sauna Installation & Electrical,https://besthomeinfraredsauna.com/electrical/,bhis_electrical_fit,pending_remap
pin-b2-0046,2 person infrared sauna dimensions,30,1.73,7,4.3,fit,spec_table,Sauna Sizes & Space Planning,https://besthomeinfraredsauna.com/#finder,bhis_home_fit_finder,pending_remap
pin-b2-0047,outdoor sauna electrical requirements,40,2.22,10,4.0,electrical,reality_check,Sauna Installation & Electrical,https://besthomeinfraredsauna.com/electrical/,bhis_electrical_fit,pending_remap
pin-b2-0048,sunlighten sauna electrical requirements,30,3.28,18,1.7,electrical,reality_check,Sauna Installation & Electrical,https://besthomeinfraredsauna.com/electrical/,bhis_electrical_fit,pending_remap
pin-b2-0049,clearlight sauna electrical requirements,10,0.5,10,1.0,electrical,reality_check,Sauna Installation & Electrical,https://besthomeinfraredsauna.com/electrical/,bhis_electrical_fit,pending_remap
pin-b2-0050,home sauna electrical requirements,20,2.11,36,0.6,electrical,reality_check,Sauna Installation & Electrical,https://besthomeinfraredsauna.com/electrical/,bhis_electrical_fit,pending_remap
pin-b2-0051,barrel sauna electrical requirements,10,1.62,30,0.3,electrical,reality_check,Sauna Installation & Electrical,https://besthomeinfraredsauna.com/electrical/,bhis_electrical_fit,pending_remap
